id,name,name_secondary,freephone,phone,email,website,contact_page,last_modified,address_physical_extended,address_physical_street,address_physical_locality,address_physical_postcode,address_physical_country,address_postal_extended,address_postal_street,address_postal_locality,address_postal_postcode,address_postal_country,sector,parent_id
accident-compensation-corporation,Accident Compensation Corporation (ACC),Te Kaporeihana Āwhina Hunga Whara,0800101996,+6448167400,information@acc.co.nz,http://www.acc.co.nz,https://www.acc.co.nz/contact/,2021-04-09,,19 Aitken Street,Wellington,6140,New Zealand,,PO Box 242,Wellington,6140,New Zealand,Crown agents,
accreditation-council,Accreditation Council,,,+6495256655,info@ianz.govt.nz,https://www.ianz.govt.nz/,https://www.ianz.govt.nz/contact-us,2020-07-29,,626 Great South Road,Auckland,1051,New Zealand,,Private Bag 28908,Auckland,1541,New Zealand,Autonomous crown entities,
advertising-standards-authority,Advertising Standards Authority (ASA),,0800234357,+6444727852,asa@asa.co.nz,http://www.asa.co.nz/,http://www.asa.co.nz/contact-us/,2019-07-31,,93 Boulcott Street,Wellington,6011,New Zealand,,PO Box 10675,Wellington,6143,New Zealand,,
agresearch-limited,AgResearch Limited,,,+6433218800,info@agresearch.co.nz,http://www.agresearch.co.nz/,https://www.agresearch.co.nz/contact/,2023-09-27,,19 Ellesmere Junction Road,Lincoln,7608,New Zealand,,Private Bag 4749,Christchurch,8140,New Zealand,Crown Research Institutes,
agricultural-and-marketing-research-and-development-trust,Agricultural and Marketing Research and Development Trust (AGMARDT),,,+6463238766,info@agmardt.org.nz,http://www.agmardt.org.nz/,http://agmardt.org.nz/?c=email,2021-04-09,,8 Weld Street,Feilding,4702,New Zealand,,PO Box 472,Feilding,4740,New Zealand,Trusts,
air-new-zealand,Air New Zealand,,0800737000,+64093662929,,http://www.airnewzealand.co.nz,https://www.airnewzealand.co.nz/help-and-contact,2021-04-09,,185 Fanshawe Street,Auckland,1010,New Zealand,,Air NZ Customer Relations  Private Bag 92007,Auckland,1142,New Zealand,State-owned enterprises,
airways-corporation-of-new-zealand-limited,Airways,,,+6444711888,info@airways.co.nz,http://www.airways.co.nz/,http://www.airways.co.nz/contact-us/,2020-07-29,,100 Willis Street,Wellington,6011,New Zealand,,PO Box 294,Wellington,6140,New Zealand,State-owned enterprises,
alcohol-regulatory-and-licensing-authority,Alcohol Regulatory and Licensing Authority,,,+6444626660,ARLA@justice.govt.nz,https://www.justice.govt.nz/tribunals/licences-certificates/arla,https://www.justice.govt.nz/tribunals/licences-certificates/arla/contact-us/,2019-10-31,,86 Customhouse Quay,Wellington,6011,New Zealand,,Alcohol Regulatory and Licensing Authority  Tribunals Unit  DX: SX11159,Wellington,,New Zealand,,
alexander-turnbull-library,Alexander Turnbull Library,,0800474300,+6444743000,atl@natlib.govt.nz,http://natlib.govt.nz/researchers,https://natlib.govt.nz/about-this-site/contact-us,2021-02-22,,Corner of Molesworth and Aitken Streets,Wellington,6140,New Zealand,,PO Box 12349,Wellington,6140,New Zealand,Public Service,national-library-of-new-zealand
animal-control-products-limited,Animal Control Products Ltd,,,+6463445302,info@pestoff.co.nz,http://www.pestoff.co.nz/,http://www.pestoff.co.nz/contact-us,2020-08-12,,408 Heads Road,Wanganui,4501,New Zealand,,Private Bag 3018,Wanganui,4540,New Zealand,State-owned enterprises,
