organisations_id,roles_id
accident-compensation-corporation,minister-for-acc
accident-compensation-corporation,associate-minister-for-acc
accident-compensation-corporation,acting-chairperson
accident-compensation-corporation,chief-executive
accreditation-council,chief-executive
accreditation-council,chair
advertising-standards-authority,chief-executive
advertising-standards-authority,chair
agresearch-limited,chief-executive
agresearch-limited,chair
agricultural-and-marketing-research-and-development-trust,minister-of-agriculture
agricultural-and-marketing-research-and-development-trust,associate-minister-of-agriculture
agricultural-and-marketing-research-and-development-trust,associate-minister-of-agriculture-horticulture
agricultural-and-marketing-research-and-development-trust,associate-minister-of-agriculture-animal-welfare-skills
agricultural-and-marketing-research-and-development-trust,chairperson
agricultural-and-marketing-research-and-development-trust,general-manager
air-new-zealand,minister-of-finance
air-new-zealand,chief-executive-officer
air-new-zealand,chair
airways-corporation-of-new-zealand-limited,minister-for-state-owned-enterprises
airways-corporation-of-new-zealand-limited,chief-executive
airways-corporation-of-new-zealand-limited,chair
animal-control-products-limited,minister-for-state-owned-enterprises
animal-control-products-limited,chief-executive
animal-control-products-limited,chairperson
ara-institute-of-canterbury,chief-executive
ara-institute-of-canterbury,chair
archives-new-zealand,minister-of-internal-affairs
archives-new-zealand,chief-archivist-and-general-manager
aroturuki-tamariki,minister-for-social-development-and-employment
aroturuki-tamariki,chief-executive
ashburton-district-council,chief-executive
ashburton-district-council,mayor
asia-new-zealand-foundation,minister-of-foreign-affairs
asia-new-zealand-foundation,executive-director
asia-new-zealand-foundation,chairperson
asurequality-limited,minister-for-state-owned-enterprises
asurequality-limited,chief-executive
auckland-council,mayor
auckland-council,chief-executive
auckland-university-of-technology,chancellor
auckland-university-of-technology,vice-chancellor
aucklandwaikato-fish-and-game-council,minister-of-conservation
aucklandwaikato-fish-and-game-council,chief-executive
aucklandwaikato-fish-and-game-council,chairperson
audit-new-zealand,executive-director
aviation-security-service,general-manager
banking-ombudsman-scheme,banking-ombudsman
banking-ombudsman-scheme,independent-chair
bay-of-plenty-regional-council,chief-executive
bay-of-plenty-regional-council,chairman
broadcasting-standards-authority,minister-for-media-and-communications
broadcasting-standards-authority,parliamentary-under-secretary-to-the-minister-for-media-and-communications
broadcasting-standards-authority,chief-executive
broadcasting-standards-authority,chair
buller-district-council,chief-executive
buller-district-council,mayor
callaghan-innovation,chief-executive
callaghan-innovation,chairperson
carterton-district-council,chief-executive
carterton-district-council,mayor
central-hawkes-bay-district-council,chief-executive
central-hawkes-bay-district-council,mayor
central-otago-district-council,chief-executive
central-otago-district-council,mayor
central-south-island-fish-and-game-council,minister-of-conservation
central-south-island-fish-and-game-council,chief-executive
central-south-island-fish-and-game-council,chairperson
charities-services,general-manager
charter-school-agency,associate-minister-of-education-partnership-schools
charter-school-agency,chief-executive
charter-school-agency,chair
chatham-islands-council,mayor
chatham-islands-council,chief-executive
christchurch-city-council,mayor
christchurch-city-council,interim-chief-executive
city-rail-link-limited,minister-of-transport
