id,honorific,name,is_minister
honscott-simpson,Hon,Scott Simpson,1
honnicola-grigg,Hon,Nicola Grigg,1
drtracey-batten,Dr,Tracey Batten,0
megan-main,,Megan Main,0
brian-young,,Brian Young,0
paul-connell,,Paul Connell,0
hilary-souter,,Hilary Souter,0
honheather-roy,Hon,Heather Roy,0
sue-bidrose,,Sue Bidrose,0
drpaul-reynolds-qso,Dr,"Paul Reynolds, QSO",0
hontodd-mcclay,Hon,Todd McClay,1
honmark-patterson,Hon,Mark Patterson,1
honandrew-hoggard,Hon,Andrew Hoggard,1
tony-egan,,Tony Egan,0
malcolm-nitschke,,Malcolm Nitschke,0
honnicola-willis,Hon,Nicola Willis,1
greg-foran,,Greg Foran,0
dametherese-walsh,Dame,Therese Walsh,0
honsimeon-brown,Hon,Simeon Brown,1
graeme-sumner,,Graeme Sumner,0
denise-church-qso-cfinstd,,Denise Church QSO CFInstD,0
william-mccook,,William McCook,0
terry-murdoch,,Terry Murdoch,0
tony-gray,,Tony Gray,0
drtherese-arseneau,Dr,Thérèse Arseneau,0
honbrooke-van-velden,Hon,Brooke van Velden,1
anahera-morehu,,Anahera Morehu,0
honlouise-upston,Hon,Louise Upston,1
arran-jones,,Arran Jones,0
hamish-riach,,Hamish Riach,0
neil-brown,,Neil Brown,0
rt-honwinston-peters,Rt Hon,Winston Peters,1
simon-draper,,Simon Draper,0
hon-damefran-wilde-dnzm-qso,Hon Dame,Fran Wilde DNZM QSO,0
kim-ballinger,,Kim Ballinger,0
wayne-brown,,Wayne Brown,0
jim-stabback,,Jim Stabback,0
john-maasland,,John Maasland,0
derek-mccormack,,Derek McCormack,0
hontama-potaka,Hon,Tama Potaka,1
ben-wilson,,Ben Wilson,0
nigel-juby,,Nigel Juby,0
stephen-walker,,Stephen Walker,0
mark-wheeler,,Mark Wheeler,0
nicola-sladden,,Nicola Sladden,0
miriam-dean-cnzm-qc,,Miriam Dean CNZM QC,0
fiona-mctavish,,Fiona McTavish,0
doug-leeder,,Doug Leeder,0
honpaul-goldsmith,Hon,Paul Goldsmith,1
honjenny-marcroft,Hon,Jenny Marcroft,1
glen-scanlon,,Glen Scanlon,0
judgebill-hastings,Judge,Bill Hastings,0
sharon-mason,,Sharon Mason,0
jamie-cleine,,Jamie Cleine,0
stefan-korn,,Stefan Korn,0
pete-hodgson,,Pete Hodgson,0
geoff-hamilton,,Geoff Hamilton,0
ron-mark,,Ron Mark,0
doug-tate,,Doug Tate,0
alex-walker,,Alex Walker,0
sanchia-jacobs,,Sanchia Jacobs,0
tim-cadogan,,Tim Cadogan,0
steve-mcknight,,Steve Mcknight,0
linn-koevoet,,Linn Koevoet,0
charlotte-stanley,,Charlotte Stanley,0
hondavid-seymour,Hon,David Seymour,1
jane-lee,,Jane Lee,0
justine-mahon,,Justine Mahon,0
monique-croon,,Monique Croon,0
owen-pickles,,Owen Pickles,0
phil-mauger,,Phil Mauger,0
mary-richardson,,Mary Richardson,0
honchris-bishop,Hon,Chris Bishop,1
james-meager,,James Meager,1
sirbrian-roche,Sir,Brian Roche,0
mark-darrow,,Mark Darrow,0
keith-manch,,Keith Manch,0
honsimon-watts,Hon,Simon Watts,1
jo-hendy,,Jo Hendy,0
dr-rod-carr,,Dr Rod Carr,0
steve-hill,,Steve Hill,0
bryan-cadogan,,Bryan Cadogan,0
adrienne-meikle,,Adrienne Meikle,0
anna-rawlings,,Anna Rawlings,0
john-ryan,,John Ryan,0
caren-rangi-onzm,,Caren Rangi ONZM,0
stephen-wainwright,,Stephen Wainwright,0
colin-carruthers-qc,,Colin Carruthers QC,0
gary-traveller,,Gary Traveller,0
graham-mitchell,,Graham Mitchell,0
mark-binns,,Mark Binns,0
linda-robertson,,Linda Robertson,0
murray-gribben,,Murray Gribben,0
honjudith-collins,Hon,Judith Collins,1
una-jagose-qc,,Una Jagose QC,0
honchris-penk,Hon,Chris Penk,1
peter-townsend,,Peter Townsend,0
penny-nelson,,Penny Nelson,0
honmark-mitchell,Hon,Mark Mitchell,1
jeremy-lightfoot,,Jeremy Lightfoot,0
rt-honchristopher-luxon,Rt Hon,Christopher Luxon,1
paul-james,,Paul James,0
ben-king,,Ben King,0
tim-castle,,Tim Castle,0
nick-paterson,,Nick Paterson,0
sandy-graham,,Sandy Graham,0
jules-radich,,Jules Radich,0
arash-alaeinia,,Arash Alaeinia,0
ngahi-bidois,,Ngahi Bidois,0
christopher-collins,,Christopher Collins,0
geraldine-travers,,Geraldine Travers,0
tracey-bridges,,Tracey Bridges,0
amanda-malu,,Amanda Malu,0
honerica-stanford,Hon,Erica Stanford,1
lara-ariell,,Lara Ariell,0
naomi-ferguson,,Naomi Ferguson,0
nicholas-pole,,Nicholas Pole,0
karl-le-quesne,,Karl Le Quesne,0
dame-marie-shroff,,Dame Marie Shroff,0
honshane-jones,Hon,Shane Jones,1
anna-kominik,,Anna Kominik,0
sarah-gillies,,Sarah Gillies,0
jane-meares,,Jane Meares,0
victor-wu,,Victor Wu,0
andrew-dallas,,Andrew Dallas,0
drmarcos-pelenur,Dr,Marcos Pelenur,0
elena-trout,,Elena Trout,0
stefanie-rixecker,,Stefanie Rixecker,0
peter-scott,,Peter Scott,0
wilma-falconer,,Wilma Falconer,0
nicol-horrell,,Nicol Horrell,0
honpenny-simmonds,Hon,Penny Simmonds,1
steven-tipene-wilson,,Steven (Tīpene) Wilson,0
drallan-freeth,Dr,Allan Freeth,0
peter-lennox,,Peter Lennox,0
michele-embling,,Michele Embling,0
wendy-venter,,Wendy Venter,0
rhys-west,,Rhys West,0
anita-chan-qc,,Anita Chan QC,0
blair-king,,Blair King,0
moko-tepania,,Moko Tepania,0
samantha-barrass,,Samantha Barrass,0
rebecca-keoghan,,Rebecca Keoghan,0
kerry-gregory,,Kerry Gregory,0
blair-cairncross,,Blair Cairncross,0
tim-gale,,Tim Gale,0
marc-england,,Marc England,0
barbara-chapman,,Barbara Chapman,0
rehette-stoltz,,Rehette Stoltz,0
