people_id,roles_id
honscott-simpson,minister-for-acc
honnicola-grigg,associate-minister-for-acc
drtracey-batten,acting-chairperson
megan-main,chief-executive
hilary-souter,chief-executive
honheather-roy,chair
sue-bidrose,chief-executive
drpaul-reynolds-qso,chair
tony-egan,chairperson
malcolm-nitschke,general-manager
greg-foran,chief-executive-officer
dametherese-walsh,chair
graeme-sumner,chief-executive
william-mccook,chief-executive
terry-murdoch,chairperson
tony-gray,chief-executive
drtherese-arseneau,chair
anahera-morehu,chief-archivist-and-general-manager
arran-jones,chief-executive
hamish-riach,chief-executive
neil-brown,mayor
simon-draper,executive-director
kim-ballinger,chief-executive
wayne-brown,mayor
jim-stabback,chief-executive
john-maasland,chancellor
derek-mccormack,vice-chancellor
ben-wilson,chief-executive
nigel-juby,chairperson
stephen-walker,executive-director
mark-wheeler,general-manager
nicola-sladden,banking-ombudsman
miriam-dean-cnzm-qc,independent-chair
fiona-mctavish,chief-executive
doug-leeder,chairman
glen-scanlon,chief-executive
judgebill-hastings,chair
sharon-mason,chief-executive
jamie-cleine,mayor
stefan-korn,chief-executive
pete-hodgson,chairperson
geoff-hamilton,chief-executive
ron-mark,mayor
doug-tate,chief-executive
alex-walker,mayor
sanchia-jacobs,chief-executive
tim-cadogan,mayor
steve-mcknight,chief-executive
linn-koevoet,chairperson
charlotte-stanley,general-manager
jane-lee,chief-executive
justine-mahon,chair
monique-croon,mayor
owen-pickles,chief-executive
phil-mauger,mayor
mary-richardson,interim-chief-executive
mark-darrow,chair
keith-manch,chief-executive
jo-hendy,chief-executive
dr-rod-carr,chairperson
steve-hill,chief-executive
bryan-cadogan,mayor
adrienne-meikle,chief-executive
anna-rawlings,chair
john-ryan,controller-and-auditor-general
caren-rangi-onzm,chair
stephen-wainwright,chief-executive
colin-carruthers-qc,chief-commissioner
gary-traveller,chairperson
graham-mitchell,chief-executive
mark-binns,chair
linda-robertson,chair
murray-gribben,ceo
una-jagose-qc,solicitor-general
peter-townsend,chairperson
penny-nelson,director-general
