id,honorific,name,is_minister
honandrew-bayly,Hon,Andrew Bayly,1
honnicola-grigg,Hon,Nicola Grigg,1
drtracey-batten,Dr,Tracey Batten,0
megan-main,,Megan Main,0
brian-young,,Brian Young,0
paul-connell,,Paul Connell,0
hilary-souter,,Hilary Souter,0
honheather-roy,Hon,Heather Roy,0
sue-bidrose,,Sue Bidrose,0
drpaul-reynolds-qso,Dr,"Paul Reynolds, QSO",0
hontodd-mcclay,Hon,Todd McClay,1
honmark-patterson,Hon,Mark Patterson,1
honandrew-hoggard,Hon,Andrew Hoggard,1
tony-egan,,Tony Egan,0
malcolm-nitschke,,Malcolm Nitschke,0
