people_id,roles_id
honandrew-bayly,minister-for-acc
honnicola-grigg,associate-minister-for-acc
drtracey-batten,acting-chairperson
megan-main,chief-executive
brian-young,chief-executive
paul-connell,chair
hilary-souter,chief-executive
honheather-roy,chair
sue-bidrose,chief-executive
drpaul-reynolds-qso,chair
hontodd-mcclay,minister-of-agriculture
honmark-patterson,associate-minister-of-agriculture
honnicola-grigg,associate-minister-of-agriculture-horticulture
honandrew-hoggard,associate-minister-of-agriculture-animal-welfare-skills
tony-egan,chairperson
malcolm-nitschke,general-manager
