id,name
minister-for-acc,Minister for ACC
associate-minister-for-acc,Associate Minister for ACC
acting-chairperson,Acting Chairperson
chief-executive,Chief Executive
chair,Chair
minister-of-agriculture,Minister of Agriculture
associate-minister-of-agriculture,Associate Minister of Agriculture
associate-minister-of-agriculture-horticulture,Associate Minister of Agriculture (Horticulture)
associate-minister-of-agriculture-animal-welfare-skills,"Associate Minister of Agriculture (Animal Welfare, Skills)"
chairperson,Chairperson
general-manager,General Manager
